feature,importance
amt_log,0.02329629647054532
high_amt,0.015580776032322552
amt_vs_avg,0.011884969261806488
hour_cos,0.006306226348513411
gender_F,0.004334483022540914
gender_M,0.0038071511159151195
city_pop,0.003782999396618192
hour_sin,0.0034607614606926296
age,0.0022897845638429892
travel_speed,0.0020570203065197745
is_weekend,0.0019245976950916788
dow_cos,0.001439449831111883
time_delta,0.0012995766616977766
category_health_fitness,0.0011698374474655715
missing_merch_zip,0.0009688570148025377
category_personal_care,0.0009678446719280087
category_gas_transport,0.0009634411506369567
dow_sin,0.0009003373105325174
category_shopping_pos,0.0008422910305795339
is_night,0.0006846091392054277
