feature,importance
amt_log,0.02346691436406878
high_amt,0.01506747303238165
amt_vs_avg,0.011884969261806488
hour_cos,0.005868534598299613
city_pop,0.0041240413774408236
gender_F,0.003517496236061568
hour_sin,0.0032612883291294192
gender_M,0.00287578650307474
age,0.002367672008052102
travel_speed,0.0020709091954088654
time_delta,0.0016085551502067474
dow_cos,0.0011884121452672147
dow_sin,0.0010901256009264726
missing_merch_zip,0.0010217259452981464
zip_region,0.0009148775097654882
category_home,0.0008655357484327331
category_shopping_pos,0.0007588867133996313
is_night,0.000698776738555229
category_misc_pos,0.0006687141434355004
is_weekend,0.0006426683166991243
