feature,importance
amt_log,0.023660214961434445
high_amt,0.015974812626891155
amt_vs_avg,0.011884969261806488
hour_cos,0.005706773860130632
age,0.0038489401708350357
city_pop,0.003783128778666267
hour_sin,0.0035432366615746336
is_night,0.0029552755956594456
dow_cos,0.0026379270172040004
gender_M,0.0026186141339580304
is_weekend,0.0024853228814336603
missing_merch_zip,0.0021168740812484987
travel_speed,0.0020570203065197745
dow_sin,0.0015460738882819847
time_delta,0.001095911882139755
category_personal_care,0.0010622637156918469
category_health_fitness,0.0010165382294872183
category_gas_transport,0.000998520334623998
category_misc_net,0.0009772067642265236
category_grocery_pos,0.0009299802317033201
