feature,importance
amt_log,0.023775442776032718
high_amt,0.015779590848911895
amt_vs_avg,0.011884969261806488
hour_cos,0.006691704055461933
city_pop,0.003982371076086455
hour_sin,0.003352811949690948
age,0.0027240887710566764
gender_M,0.0023402060742455655
is_weekend,0.0022368444974095736
category_grocery_pos,0.0022361802199777348
dow_sin,0.002170974362712741
travel_speed,0.0020570203065197745
dow_cos,0.0017878599592894284
is_night,0.0017872893184718297
missing_merch_zip,0.0014395229117725172
time_delta,0.0012164298961460096
category_travel,0.0008139662518015234
category_grocery_net,0.0008101884482398791
dist_to_merch,0.0005186097640290654
category_shopping_net,0.00034072213734615
